,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
732,방벽동,"제피가루,제피가루",X(완결),학원/판타지,"지구 습격하는 괴생명체
세상의 끝에서 맞서는
농촌 메카닉 드라마",카카오,https://webtoon.kakao.com/content/방벽동/68,https://kr-a.kakaopagecdn.com/P/C/68/c1/2x/203d50c5-0960-4b6c-8f76-08ecbed0f8c8.png
733,밤12시,"DAUM WEBTOON,DAUM WEBTOON",X(완결),공포/스릴러,"매주 금요일 밤 12시
대표작가들이 선보이는
특별한 공포",카카오,https://webtoon.kakao.com/content/밤12시/110,https://kr-a.kakaopagecdn.com/P/C/110/c1/2x/5eef8a51-225f-4a3b-a434-30772847dc27.png
734,염라공주 모모레,"주니쿵,주니쿵",X(완결),코믹/일상,"인간세계에서 살아가는 
염라국 공주 모모레의
좌충우돌 이야기",카카오,https://webtoon.kakao.com/content/염라공주-모모레/53,https://kr-a.kakaopagecdn.com/P/C/53/c1/2x/831c8f8e-b918-4d45-99db-aaf88f6030cc.png
735,술,"네스티캣,네스티캣",X(완결),학원/판타지,"사랑이란 무엇일까?
증오와 사랑 그리고 
인간에 관한 판타지",카카오,https://webtoon.kakao.com/content/술/90,https://kr-a.kakaopagecdn.com/P/C/90/c1/2x/ab7a650f-8cba-4b01-8df8-b56dd2dcf5bc.png
736,12월,"강소소,송래현",X(완결),드라마,"비슷한 듯 다른 
두 사람의
사랑과 애틋한 이별 ",카카오,https://webtoon.kakao.com/content/12월/82,https://kr-a.kakaopagecdn.com/P/C/82/c1/2x/8c8e260c-4fe2-4902-b6f3-7503d120ed74.png
737,고양이 장례식,"홍작가,홍작가",X(완결),드라마,"헤어진 그와 그녀,
고양이의 장례식에서
우연히 만나다",카카오,https://webtoon.kakao.com/content/고양이-장례식/95,https://kr-a.kakaopagecdn.com/P/C/95/c1/2x/620039e0-fd3c-4465-ae2b-f0640bf34c72.png
738,향연상자,"Hun,Hun",X(완결),학원/판타지,"그들을 가둔 컨테이너
새로운 룰로 무장한
또 한 번의 생존게임",카카오,https://webtoon.kakao.com/content/향연상자/79,https://kr-a.kakaopagecdn.com/P/C/79/c1/2x/4e38ea61-a06c-4e79-b0a7-5165af83825c.png
739,항해1,"Hun,Hun",X(완결),학원/판타지,"이 세계의 균형을 맞출
네 명의 소년과 
소녀들의 의무",카카오,https://webtoon.kakao.com/content/항해1/54,https://kr-a.kakaopagecdn.com/P/C/54/c1/2x/fd22b648-b59c-42a9-9537-1e07f9fa12ab.png
740,해골택시,"와자,와자",X(완결),코믹/일상,"삶을 포기하려는 자
당신 앞으로 택시 
한 대가 멈춘다",카카오,https://webtoon.kakao.com/content/해골택시/63,https://kr-a.kakaopagecdn.com/P/C/63/c1/2x/f737c0bd-e6a0-4e8e-9aa8-aac67cbf3bef.png
741,마음이 만든 것,"정필원,정필원",X(완결),판타지 드라마,"아이들의 순수한 로맨스
따뜻한 작품과 함께
여행을 떠나세요",카카오,https://webtoon.kakao.com/content/마음이-만든-것/66,https://kr-a.kakaopagecdn.com/P/C/66/c1/2x/5b609b7c-f648-4e98-a270-af38ab90e6ef.png
742,이웃사람,"강풀,강풀",X(완결),공포/스릴러,"나를 지나간 그 사람은
당신의 공포스러운 
대상이 될 수 있다.",카카오,https://webtoon.kakao.com/content/이웃사람/57,https://kr-a.kakaopagecdn.com/P/C/57/c1/2x/cc315a93-7195-4656-8067-de5e11e6a3e2.png
743,샴,"Hun,Hun",X(완결),학원/판타지,"불의의 사고로 서로의
몸을 공유하게 된
비극적인 쌍둥이 형제",카카오,https://webtoon.kakao.com/content/샴/69,https://kr-a.kakaopagecdn.com/P/C/69/c1/2x/23a2eb57-0741-4f27-89e8-a1248250789a.png
744,천사의 섬,"고리타,고리타",X(완결),코믹/일상,"섬에서 표류하는 남자 
그러던 어느 날, 
갑자기 천사가 나타났다",카카오,https://webtoon.kakao.com/content/천사의-섬/49,https://kr-a.kakaopagecdn.com/P/C/49/c1/2x/692ef6ac-4027-4a61-83e9-f108c6ddc7d7.png
745,무림수사대,"이충호,이충호",X(완결),학원/판타지,"현대 대한민국 서울,
무림인들의 거대한 
싸움이 시작된다",카카오,https://webtoon.kakao.com/content/무림수사대/39,https://kr-a.kakaopagecdn.com/P/C/39/c1/2x/8712fae3-40ff-4c0f-8450-f3be3a52a971.png
746,교수인형,"팀 겟네임,팀 겟네임",X(완결),공포/스릴러,"모든 시작은 
1994년부터
팀겟네임 서스펜스 걸작",카카오,https://webtoon.kakao.com/content/교수인형/41,https://kr-a.kakaopagecdn.com/P/C/41/c1/2x/d15738b8-4a06-41de-83d3-6a837bdd3ced.png
747,데자뷰,"Hun,Hun",X(완결),판타지 드라마,"살리는 자와 거두는 자
이루어질 수 없는 
두 존재가 만났다",카카오,https://webtoon.kakao.com/content/데자뷰/62,https://kr-a.kakaopagecdn.com/P/C/62/c1/2x/08a06c74-9dff-4354-9843-d55366eef520.png
748,울트라병장,"김민재,김민재",X(완결),학원/판타지,"코믹 SF메카닉 만화
대한민국의 평화를 
지킬 수 있을 것인가",카카오,https://webtoon.kakao.com/content/울트라병장/42,https://kr-a.kakaopagecdn.com/P/C/42/c1/2x/183681c5-97b4-408e-ad8b-10ec56e49022.png
749,블러드 오션,"팀 풍경,팀 풍경",X(완결),학원/판타지,"에스탄시아 스핀오프작!
형과 동생들을 찾아 
우주를 배회하는 주인공",카카오,https://webtoon.kakao.com/content/블러드-오션/28,https://kr-a.kakaopagecdn.com/P/C/28/c1/2x/5e699788-0d8d-43f2-81ab-d1a9289d0a9a.png
750,"봄, 가을","이림,이림",X(완결),드라마,"혹독하지만 아름다운 
성장통과 함께 빛나는 
학창시절의 사랑",카카오,https://webtoon.kakao.com/content/봄-가을/38,https://kr-a.kakaopagecdn.com/P/C/38/c1/2x/fbc3e126-8e7a-473d-a4ad-21753912e8a4.png
751,큐브릭,"강도하,강도하",X(완결),드라마,"청춘 3부작 완결편
10대들의 달콤쌉사름한
사랑 이야기",카카오,https://webtoon.kakao.com/content/큐브릭/36,https://kr-a.kakaopagecdn.com/P/C/36/c1/2x/81cb0336-7123-4ca1-8b6d-ef3673ac0c9d.png
752,커피 앤 페이퍼,"남지은,남지은",X(완결),드라마,"준비되지 않은 20살
꿈, 사랑, 진학.. 
이 상태는 괜찮은걸까?",카카오,https://webtoon.kakao.com/content/커피-앤-페이퍼/32,https://kr-a.kakaopagecdn.com/P/C/32/c1/2x/58f2ffc1-8704-414a-984c-476a8c5ef336.png
753,도로시밴드,"홍작가,홍작가",X(완결),드라마,"도로시 밴드 맴버들이 
안내하는 환상의 나라로
떠나보세요",카카오,https://webtoon.kakao.com/content/도로시밴드/24,https://kr-a.kakaopagecdn.com/P/C/24/c1/2x/333736f2-0486-4627-9e4e-01db66a8aa7d.png
754,브이,"제피가루,제피가루",X(완결),학원/판타지,"어린 시절 우리의 영웅
태권브이의 
당당한 귀환!",카카오,https://webtoon.kakao.com/content/브이/29,https://kr-a.kakaopagecdn.com/P/C/29/c1/2x/db18fe10-e859-4215-8cc5-a7434d55e980.png
755,그대를 사랑합니다,"강풀,강풀",X(완결),드라마,"강풀 작가의 순정만화
그 세 번째 이야기 
어른들의 가슴찡한 사랑",카카오,https://webtoon.kakao.com/content/그대를-사랑합니다/35,https://kr-a.kakaopagecdn.com/P/C/35/c1/2x/b2e9490e-d965-4054-9434-e0122c8704fe.png
756,오리우리,"JJO,캐러멜",X(완결),코믹/일상,"이별 후에 갑자기 
만나게 된 그 남자의 
정체는.. 오리?",카카오,https://webtoon.kakao.com/content/오리우리/23,https://kr-a.kakaopagecdn.com/P/C/23/c1/2x/b9525c17-9adc-44f7-9dc6-3968c3dcbdbd.png
757,도깨비,"네스티캣,네스티캣",X(완결),학원/판타지,"고영훈 작가의 데뷔작!
평범하게 살아온 내가
도깨비였다고?",카카오,https://webtoon.kakao.com/content/도깨비/27,https://kr-a.kakaopagecdn.com/P/C/27/c1/2x/7fc29454-7b5c-4614-be21-2f545c6574e0.png
758,죽는남자,"이림,이림",X(완결),드라마,"주어진 시간 100일,
모든 것을 나누어주고 
떠날 준비를 하는 남자",카카오,https://webtoon.kakao.com/content/죽는남자/20,https://kr-a.kakaopagecdn.com/P/C/20/c1/2x/0e45a518-d135-42e4-9380-4311df632bf5.png
759,스멜스 라이크 30 스피릿,"고리타,고리타",X(완결),코믹/일상,"내 나이 30살, 
힘든 회사생활에
잊고 있던 꿈",카카오,https://webtoon.kakao.com/content/스멜스-라이크-30-스피릿/26,https://kr-a.kakaopagecdn.com/P/C/26/c1/2x/f0367e15-d08d-4870-9547-b3dcb42f6b8b.png
