Unnamed: 0,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
32,취접냉월,"레이카,보민",월,로맨스,"엇갈린 운명의 두 사람
치열하고 아름다운
사랑과 복수",카카오,https://webtoon.kakao.com/content/취접냉월/2803,https://kr-a.kakaopagecdn.com/P/C/2803/c1/2x/c8c3f14e-641e-4c92-9902-45308ca1bb22.png
33,월요일이 사라졌다,"재미핥기,콩가",월,판타지 드라마,"직장인의 숙명, 월요일
그런데 어느 날 진짜로
월요일이 사라졌다!?",카카오,https://webtoon.kakao.com/content/월요일이-사라졌다/2929,https://kr-a.kakaopagecdn.com/P/C/2929/c1/2x/3c0edfa0-b637-4660-9939-89777fac7ed3.png
34,아싸가 알아버렸다,"곰브,곰브",월,드라마,"학교가 싫은 아싸 두봉
학교가 좋은 인싸 윤정
두 사람의 이야기!",카카오,https://webtoon.kakao.com/content/아싸가-알아버렸다/1847,https://kr-a.kakaopagecdn.com/P/C/1847/c1/2x/3dcc1459-4cac-4ff7-a3ff-e324e561e764.png
0,유부녀 킬러,"YOON,검둥",수,드라마,"육아휴직을 마치고 
복귀한 유부녀의
비밀스러운 이중생활",카카오,https://webtoon.kakao.com/content/유부녀-킬러/1963,https://kr-a.kakaopagecdn.com/P/C/1963/c1/2x/7e604844-5ad0-4b85-b8d2-f3e2599bc694.png
1,히든 플레이어,"나무나래,나무나래",수,학원/판타지,"""복수를 원하나...?
그렇다면...
먹어라.""",카카오,https://webtoon.kakao.com/content/히든-플레이어/3064,https://kr-a.kakaopagecdn.com/P/C/3064/c1/2x/e4473ea4-e5e9-4c56-9903-2c00eade899f.png
2,못할 짓,"산,산",수,드라마,"익명의 팬으로부터
유명 배우의 포르노
촬영을 제안받았다.",카카오,https://webtoon.kakao.com/content/못할-짓/2940,https://kr-a.kakaopagecdn.com/P/C/2940/c1/2x/8157e045-0435-48b8-b7b6-b6dc9352c50a.png
3,수린당 -비늘 고치는 집-,"일링스,일링스",수,판타지 드라마,"이런 축복은 그만.
운명을 바꾸기 위한
자매의 여정",카카오,https://webtoon.kakao.com/content/수린당-비늘-고치는-집/2074,https://kr-a.kakaopagecdn.com/P/C/2074/c1/2x/7125e6d0-2ef9-454d-86c8-19aa8b512196.png
4,말하기엔 사소한,"라코,라코",수,드라마,"스물여덟.
서점에서 일하는 우희는
섹스 중독이다.",카카오,https://webtoon.kakao.com/content/말하기엔-사소한/2939,https://kr-a.kakaopagecdn.com/P/C/2939/c1/2x/4613a0f1-ef15-4c1e-b222-f9e295be1e6f.png
5,천광명월,"석빈,석빈",수,액션/무협,"전쟁노예 천광
기생 명월의
가족 무협 드라마",카카오,https://webtoon.kakao.com/content/천광명월/2153,https://kr-a.kakaopagecdn.com/P/C/2153/c1/2x/ebe1dd27-c84a-4e7f-8920-aef09b94bfe1.png
6,옆집 이방인,"조금산,조금산",수,판타지 드라마,"어느 날 동네에 
갑자기 이사를 오게 된
이방인들.",카카오,https://webtoon.kakao.com/content/옆집-이방인/2601,https://kr-a.kakaopagecdn.com/P/C/2601/c1/2x/03322a9e-77bf-4f6e-a311-9aebf193edd1.png
7,쌍갑포차,"배혜수,배혜수",수,판타지 드라마,"낯선 곳에 나타난 
의문의 포장마차에서
일어나는 이야기",카카오,https://webtoon.kakao.com/content/쌍갑포차/1299,https://kr-a.kakaopagecdn.com/P/C/1299/c1/2x/3c0eaf55-cb1f-4bd4-b9f1-cd332f7525b8.png
8,여혜,"비나리,비나리",수,로맨스,"가려진 진실,
엇갈리는 이들의 
시대극 로맨스.",카카오,https://webtoon.kakao.com/content/여혜/1958,https://kr-a.kakaopagecdn.com/P/C/1958/c1/2x/a0dc4144-6bec-4d05-998e-d4d9c4271745.png
9,블랙 베히모스,"케이지콘,케이지콘",수,학원/판타지,"탈리스만이 되기 위한 
시험에 도전하는 
주인공의 힘겨운 전투!",카카오,https://webtoon.kakao.com/content/블랙-베히모스/792,https://kr-a.kakaopagecdn.com/P/C/792/c1/2x/ec1b1361-e701-4be8-925d-92761ecb31b9.png
10,교환 남녀,"노몽,노몽",수,로맨스,"친구가 내 전 남친과
사귄다면? 
복수를 위한 동맹 시작",카카오,https://webtoon.kakao.com/content/교환-남녀/2764,https://kr-a.kakaopagecdn.com/P/C/2764/c1/2x/d93bb440-623e-4a94-a2f1-6faa72ab684b.png
11,프린세스,"한승원,프린세스프로덕션",수,로맨스 판타지,"3대에 걸친 대서사시
라미라,아나토리아,
스가르드 3국의 이야기",카카오,https://webtoon.kakao.com/content/프린세스/3013,https://kr-a.kakaopagecdn.com/P/C/3013/c1/2x/5b5e61a2-1adf-429c-860f-9bf9ec253d8c.png
12,후크,"나진수,나진수",수,학원/판타지,"혁명이 시작된다
마법사vs마도 공학자
그들의 끝없는 전쟁",카카오,https://webtoon.kakao.com/content/후크/1381,https://kr-a.kakaopagecdn.com/P/C/1381/c1/2x/3fcec3eb-51cf-4fe2-8fef-14f335ab6f25.png
13,상추마켓,"해달강,666",수,학원/판타지,"상추마켓만 있으면
이 찐따같은 삶에서 
벗어날 수 있어!",카카오,https://webtoon.kakao.com/content/상추마켓/3057,https://kr-a.kakaopagecdn.com/P/C/3057/c1/2x/ff881513-2f3b-4a2e-a2ab-7240de9a67bc.png
14,안녕은하세요,"검둥,검둥",수,로맨스,"장르 사기 아닙니다.
강한 독자님만 견디는
하이퍼리즘 GL 로맨스",카카오,https://webtoon.kakao.com/content/안녕은하세요/2819,https://kr-a.kakaopagecdn.com/P/C/2819/c1/2x/1dd30b81-a216-4159-952d-0e346f14aa0c.png
15,곤,"수신지,수신지",수,드라마,"낙태죄 처벌로 여성들이
사라져버린(gone)
가상의 세상",카카오,https://webtoon.kakao.com/content/곤/2843,https://kr-a.kakaopagecdn.com/P/C/2843/c1/2x/bf7cc4e6-db7c-407e-8ec3-85d1988a95cd.png
16,도토리 문화센터,"난다,난다",수,코믹/일상,"취미 없는 부장님의
'무한 취미 지옥',
문화센터 생존기",카카오,https://webtoon.kakao.com/content/도토리-문화센터/2557,https://kr-a.kakaopagecdn.com/P/C/2557/c1/2x/f0b92a2a-597c-4779-84b7-1d45357f18af.png
17,앵그리체어,"강형규,강형규",수,학원/판타지,"미친놈들인 줄
알았는데
귀신들이었다",카카오,https://webtoon.kakao.com/content/앵그리체어/3015,https://kr-a.kakaopagecdn.com/P/C/3015/c1/2x/8302b3f4-4057-43e8-a1d6-099f5d37e381.png
18,악녀의 데뷔작,"T그린,정큰비",수,로맨스,"500년째 환생 중!
첫사랑 vs 애증남
네버엔딩 삼각 로맨스",카카오,https://webtoon.kakao.com/content/악녀의-데뷔작/2588,https://kr-a.kakaopagecdn.com/P/C/2588/c1/2x/2c8d421c-746d-4919-b75e-ff103e5a5754.png
19,금수친구들,"짤태식,짤태식",수,코믹/일상,"조선시대 집사의 
처절하고 유쾌한
집사 라이프",카카오,https://webtoon.kakao.com/content/금수친구들/1909,https://kr-a.kakaopagecdn.com/P/C/1909/c1/2x/1436aca7-6a9a-41e6-a2bd-44fe2a4f9cfd.png
