id,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
784,수능일기,자까,X(완결),개그,대학에 가면 모든게 행복할 줄 알았던...그 때의 처절했던 기억 속으로...,네이버,https://comic.naver.com/webtoon/list?titleId=734348,https://shared-comic.pstatic.net/thumb/webtoon/734348/thumbnail/thumbnail_IMAG06_64ed072d-2621-4cb7-b01d-955b3db2423e.jpg
785,위장불륜 (僞裝不倫),히가시무라 아키코,X(완결),로맨스,내가 왜 그랬을까?반지에서 시작된 엇갈린 첫 단추<해파리공주> 히가시무라 아키코 작가의 첫 웹툰!,네이버,https://comic.naver.com/webtoon/list?titleId=712901,https://shared-comic.pstatic.net/thumb/webtoon/712901/thumbnail/thumbnail_IMAG06_384b0444-ee5a-4696-9bbe-3a13e85b8217.jpg
786,숨:킬더바디,"이재헌, 김태순",X(완결),액션,삶과 죽음의 기준은 무엇인가!신감각 SF 하드코어 액션,네이버,https://comic.naver.com/webtoon/list?titleId=729259,https://shared-comic.pstatic.net/thumb/webtoon/729259/thumbnail/thumbnail_IMAG06_cdecb7ca-11db-48a0-93d1-c0a16cfa386b.jpg
787,푸들과 Dog거중,최삡뺩,X(완결),개그,독거 아니고 Dog거 중입니다.푸들과의 이상한 일상!,네이버,https://comic.naver.com/webtoon/list?titleId=721559,https://shared-comic.pstatic.net/thumb/webtoon/721559/thumbnail/thumbnail_IMAG06_6e607fab-d9d5-4c13-b63e-ccb7a8a1f9bd.jpg
788,한남동 케이하우스,박태준,X(완결),로맨스,"<외모지상주의> 박태준 작가 신작!말할 수 없는 이 집 남자들의 비밀, 미친 꽃미남들의 후방주의 동거생활",네이버,https://comic.naver.com/webtoon/list?titleId=718707,https://shared-comic.pstatic.net/thumb/webtoon/718707/thumbnail/thumbnail_IMAG06_b9a19755-dd90-4dae-a128-b08b0b896246.jpg
789,썸머 브리즈,한경찰,X(완결),로맨스,낯선 곳에서 낯설지 않은 눈빛의 남자애를 만났다.여름 바람이 지나가고 나면 우리는..한경찰 작가의 여름 특선 신작!,네이버,https://comic.naver.com/webtoon/list?titleId=732056,https://shared-comic.pstatic.net/thumb/webtoon/732056/thumbnail/thumbnail_IMAG06_f859f4f4-05c7-4c72-b305-1f0183dd4b6a.jpg
790,신시의 손님,이뫄,X(완결),판타지,"과거를 들고 찾아온 수상한 손님,그런데.. 저랑 아는 사이라고요?",네이버,https://comic.naver.com/webtoon/list?titleId=718022,https://shared-comic.pstatic.net/thumb/webtoon/718022/thumbnail/thumbnail_IMAG06_e87832db-b4a0-4a06-805b-e35a0428c576.jpg
791,성공한 덕후,옛사람,X(완결),드라마,나는 그냥 오빠를 한번이라도 실제로 보고 싶었을 뿐인데!! 어느날 아침 성덕이 된 이야기,네이버,https://comic.naver.com/webtoon/list?titleId=703628,https://shared-comic.pstatic.net/thumb/webtoon/703628/thumbnail/thumbnail_IMAG06_af1f8eb5-d5df-4a0d-a787-ee61d1774fb7.jpg
792,"안녕, 대학생",다니,X(완결),로맨스,"서른 살, 다시 대학생이 되었습니다.2017 <청춘로맨스 대전> 우수상 수상작",네이버,https://comic.naver.com/webtoon/list?titleId=703633,https://shared-comic.pstatic.net/thumb/webtoon/703633/thumbnail/thumbnail_IMAG06_40ee18c7-6d2f-4334-88a5-e0a6004e01ba.jpg
793,메이크 업 드림 - Make Up Dream,김계란 X 네이버웹툰,X(완결),드라마,내 안의 또 다른 내가 궁금하세요? 지금 드립니다. 메이크 업 Dream!네이버웹툰과 김계란 작가의특집 5부작 에피소드별 실전 메이크업 가이드를 만나보세요.,네이버,https://comic.naver.com/webtoon/list?titleId=733488,https://shared-comic.pstatic.net/thumb/webtoon/733488/thumbnail/thumbnail_IMAG06_d7571b6d-2854-4990-a75f-fa14cabad28e.jpg
794,호러와 로맨스,루시드,X(완결),로맨스,사랑을 알고 싶은 호러 작가와 공포물은 질색인 인기 로맨스 작가의 오싹달콤한 로맨스 제작기,네이버,https://comic.naver.com/webtoon/list?titleId=710748,https://shared-comic.pstatic.net/thumb/webtoon/710748/thumbnail/thumbnail_IMAG06_7fad9a61-7d2b-444b-87ed-6bdd67df15a6.jpg
795,좋아하는 부분,타리,X(완결),로맨스,극한의 남자취향을 가진 여인 소우주의 고군분투 로맨스,네이버,https://comic.naver.com/webtoon/list?titleId=699659,https://shared-comic.pstatic.net/thumb/webtoon/699659/thumbnail/thumbnail_IMAG06_27a478f5-8226-4aae-8e84-f5582ef4a0bd.jpg
796,천리마 네버다이,김규삼,X(완결),개그,<쌉니다 천리마마트> 드라마화 기념 특별외전반가운 천리마 마트 멤버들의 새로운 이야기!,네이버,https://comic.naver.com/webtoon/list?titleId=733413,https://shared-comic.pstatic.net/thumb/webtoon/733413/thumbnail/thumbnail_IMAG06_1f053569-623f-4e11-995b-a925f75b8a72.jpg
797,신암행어사,"윤인완, 양경일",X(완결),판타지,지금부터 일어나는 일은 모두 우연이다!웹툰으로 돌아온 윤인완/양경일 작가 명작 <신암행어사> REBOOT!,네이버,https://comic.naver.com/webtoon/list?titleId=703307,https://shared-comic.pstatic.net/thumb/webtoon/703307/thumbnail/thumbnail_IMAG06_af59d718-b1b0-487e-a292-171f834a7a7b.jpg
798,식스틴,김인태,X(완결),드라마,"29살 싱글맘 직장인 서인주, 어느 날 나타난 수상한 동창으로 그녀의 일상이 흔들린다.",네이버,https://comic.naver.com/webtoon/list?titleId=703854,https://shared-comic.pstatic.net/thumb/webtoon/703854/thumbnail/thumbnail_IMAG06_08bbe9e0-3a84-4ca9-8082-9ca1626b07d1.jpg
799,2019 귀신사용설명서 - 괴담의 재구성,웹툰작가,X(완결),스릴러,2019 여름특집 공포 단편선 - 괴담의 재구성※주의※ 절대 이 작품을 혼자 읽지 마시오,네이버,https://comic.naver.com/webtoon/list?titleId=729049,https://shared-comic.pstatic.net/thumb/webtoon/729049/thumbnail/thumbnail_IMAG06_7b7eb801-3cf5-460a-83d5-2afd8f96fb72.jpg
800,여기가 씨름부입니까?,"MU, 만화인간",X(완결),개그,시름은 씨름으로 잊자!샅바마왕이 귀환했다!,네이버,https://comic.naver.com/webtoon/list?titleId=722591,https://shared-comic.pstatic.net/thumb/webtoon/722591/thumbnail/thumbnail_IMAG06_1310e7ff-771e-4755-a8b2-a52452581cf8.jpg
801,타인지옥 - 연쇄살묘사건,김용키,X(완결),스릴러,"<타인은 지옥이다> 특별외전 - 연쇄살묘사건고벤저스, 재등장! 종우가 오기 전 일어난 참혹한 사건의 전말은?!",네이버,https://comic.naver.com/webtoon/list?titleId=732403,https://shared-comic.pstatic.net/thumb/webtoon/732403/thumbnail/thumbnail_IMAG06_5927976e-8a92-4a23-ad9e-ac71622e2834.jpg
802,소유,한(恨),X(완결),드라마,"욕망, 결핍, 집착, 그리고...사랑을 향한 파국 스릴러.",네이버,https://comic.naver.com/webtoon/list?titleId=707671,https://shared-comic.pstatic.net/thumb/webtoon/707671/thumbnail/thumbnail_IMAG06_20190617_migrated.jpg
803,둥굴레차!,기라3,X(완결),판타지,"청룡, 주작, 백호, 현무. 사신의 증표를 가지고 태어난 네 무술소년들의 수련기 2013 대학만화 최강자전 2위 수상작!",네이버,https://comic.naver.com/webtoon/list?titleId=626939,https://shared-comic.pstatic.net/thumb/webtoon/626939/thumbnail/thumbnail_IMAG06_dadc5d0d-bd2c-4031-984a-02f4a671f3ff.jpg
804,허니허니 웨딩,"문나영, 노승아",X(완결),로맨스,어느 날 예비고3 신해수에게 들이닥친 결혼?! 상대는 독사 최혁준 쌤?띠동갑 커플 해수와 혁준의 서툴지만 달달한 선결혼 후연애 러브 스토리.,네이버,https://comic.naver.com/webtoon/list?titleId=697537,https://shared-comic.pstatic.net/thumb/webtoon/697537/thumbnail/thumbnail_IMAG06_e38c4ec3-e19f-481c-a402-3f2121a08233.jpg
805,12차원 소년들,컷부,X(완결),개그,소무하보다 더 강해진 녀석들이 돌아왔다. 차원을 넘나드는 소년들의 다양한 이야기,네이버,https://comic.naver.com/webtoon/list?titleId=717059,https://shared-comic.pstatic.net/thumb/webtoon/717059/thumbnail/thumbnail_IMAG06_25baee10-6ad5-48e6-8d60-88d7ed0610b6.jpg
806,연애의 정령,김호드,X(완결),개그,"남중·남고·공대·군대의 길을 걷는 자, 문오중. 그에게 뜬금없이 연애의 정령이 파견되는데...",네이버,https://comic.naver.com/webtoon/list?titleId=651617,https://shared-comic.pstatic.net/thumb/webtoon/651617/thumbnail/thumbnail_IMAG06_a841c7ac-e033-4a0d-828b-f02e93971426.jpg
807,몽연,김종진,X(완결),로맨스,꿈 속에서 만나는 첫사랑. 아내가... 날 의심한다.,네이버,https://comic.naver.com/webtoon/list?titleId=723362,https://shared-comic.pstatic.net/thumb/webtoon/723362/thumbnail/thumbnail_IMAG06_dab38c86-0902-4a94-989a-26c08a9b0bf6.jpg
808,허니버니,소금,X(완결),로맨스,토끼가 남자로 보이기 시작했다.,네이버,https://comic.naver.com/webtoon/list?titleId=719277,https://shared-comic.pstatic.net/thumb/webtoon/719277/thumbnail/thumbnail_IMAG06_3807860b-6fb7-4a22-ac44-3bcdb62df86f.jpg
809,하늘쌤은 피곤해,hemo,X(완결),판타지,'나더러 아이들을 가르치라고?!'평범한 선생님의 평범하지 않은 이세계 평화 수업!,네이버,https://comic.naver.com/webtoon/list?titleId=723758,https://shared-comic.pstatic.net/thumb/webtoon/723758/thumbnail/thumbnail_IMAG06_3c7129b5-0bb2-4871-b673-df512a92e720.jpg
810,귀도호가록,이수민,X(완결),판타지,조선의 밤을 떠도는 귀암행어사와새끼 구미호 미선의 험난한 여정!,네이버,https://comic.naver.com/webtoon/list?titleId=665170,https://shared-comic.pstatic.net/thumb/webtoon/665170/thumbnail/title_thumbnail_20151016184500_t125x101.jpg
811,밥 먹고 갈래요?,오묘,X(완결),감성,이리 뛰고 저리 뛰고 깨지고 구르고. 지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 오묘 작가의 컷툰 신작!,네이버,https://comic.naver.com/webtoon/list?titleId=651664,https://shared-comic.pstatic.net/thumb/webtoon/651664/thumbnail/title_thumbnail_20150326153630_t125x101.jpg
812,창궐,"황조윤, 윤군",X(완결),판타지,역병이 창궐했다.야귀에게서 조선을 구하라!,네이버,https://comic.naver.com/webtoon/list?titleId=703855,https://shared-comic.pstatic.net/thumb/webtoon/703855/thumbnail/thumbnail_IMAG06_c2ef3999-60c9-4952-a06a-74020bb6a459.jpg
813,하나의 하루,석우,X(완결),로맨스,인간소녀를 향한 늑대인간의 사랑,네이버,https://comic.naver.com/webtoon/list?titleId=694805,https://shared-comic.pstatic.net/thumb/webtoon/694805/thumbnail/thumbnail_IMAG06_7d4432bb-09e8-4c7b-bc70-89cf3b7d7f00.jpg
814,클로즈업,"현재권, 우박",X(완결),드라마,※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※이혼 후 모든 일이 꼬이기만 하는 문화센터 사진강사 강민주와 이혼 후 모든 일이 잘 풀리는 돌싱남 사진작가 우민욱. 그리고 방황하는 민주의 앞에 나타난 영화 촬영감독 하동현. 세 개의 렌즈 너머로 펼쳐지는 세 사람의 로맨스.,네이버,https://comic.naver.com/webtoon/list?titleId=721456,https://shared-comic.pstatic.net/thumb/webtoon/721456/thumbnail/thumbnail_IMAG06_eb6eee00-ba06-4d37-aedb-73f035b7234d.jpg
